id,name,categories,reviews.text,reviews.title,reviews.rating,reviews.id,combined_reviews,tokenized_reviews,cleaned_reviews,lemmatized_reviews,lemmatized_reviews_str,sentiment
AV1YnRtnglJLPUi8IJmV,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","Walmart for Business,Office Electronics,Tablets,Office,Electronics,iPad & Tablets,Windows Tablets,All Windows Tablets,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers,Kindle E-readers,Computers/Tablets & Networking,Tablets & eBook Readers,Electronics Features,Books & Magazines,Book Accessories,eReaders,TVs & Electronics,Computers & Laptops,Tablets & eReaders",I just love my new Kindle paperwhite.,Kindle paperwhite,5.0,111372787.0,Kindle paperwhite I just love my new Kindle paperwhite.,"['Kindle', 'paperwhite', 'I', 'just', 'love', 'my', 'new', 'Kindle', 'paperwhite', '.']","['kindle', 'paperwhite', 'love', 'new', 'kindle', 'paperwhite']","['kindle', 'paperwhite', 'love', 'new', 'kindle', 'paperwhite']",kindle paperwhite love new kindle paperwhite,positive
AWYAV-i9Iwln0LfXqrUq,Echo Spot Pair Kit (Black),"Amazon Echo,Networking,Home & Tools,Smart Home Automation,Smart Speakers,Electronics,TVs Entertainment,New Networking,Smart Hub & Kits,Digital Device 3,Speakers & Audio Systems,Consumer Electronics,Wireless Speakers,See more Amazon Echo Spot Smart Assistant - Black,Smart Speakers, Hubs & Accessories,Home Improvement,Amazon Home,Surveillance & Smart Home Electronics,Virtual Assistant Speakers Displays,Home & Outdoors,Amazon,Bluetooth Speakers","ASIDE FROM THE FACT THAT THE SCREEN IS SMALL, IT'S A GREAT LITTLE DEVICE. FOR THOSE THAT PREFER A LARGER SCREEN, THE ECHO SHOW WOULD BE A BETTER CHOICE.",ALEXA ENABLED DEVICE WITH SCREEN.,4.0,208530447.0,"ALEXA ENABLED DEVICE WITH SCREEN. ASIDE FROM THE FACT THAT THE SCREEN IS SMALL, IT'S A GREAT LITTLE DEVICE. FOR THOSE THAT PREFER A LARGER SCREEN, THE ECHO SHOW WOULD BE A BETTER CHOICE.","['ALEXA', 'ENABLED', 'DEVICE', 'WITH', 'SCREEN', '.', 'ASIDE', 'FROM', 'THE', 'FACT', 'THAT', 'THE', 'SCREEN', 'IS', 'SMALL', ',', 'IT', ""'S"", 'A', 'GREAT', 'LITTLE', 'DEVICE', '.', 'FOR', 'THOSE', 'THAT', 'PREFER', 'A', 'LARGER', 'SCREEN', ',', 'THE', 'ECHO', 'SHOW', 'WOULD', 'BE', 'A', 'BETTER', 'CHOICE', '.']","['alexa', 'enabled', 'device', 'screen', 'aside', 'fact', 'screen', 'small', 'great', 'little', 'device', 'prefer', 'larger', 'screen', 'echo', 'show', 'would', 'better', 'choice']","['alexa', 'enabled', 'device', 'screen', 'aside', 'fact', 'screen', 'small', 'great', 'little', 'device', 'prefer', 'larger', 'screen', 'echo', 'show', 'would', 'better', 'choice']",alexa enabled device screen aside fact screen small great little device prefer larger screen echo show would better choice,positive
AWYAV-i9Iwln0LfXqrUq,Echo Spot Pair Kit (Black),"Amazon Echo,Networking,Home & Tools,Smart Home Automation,Smart Speakers,Electronics,TVs Entertainment,New Networking,Smart Hub & Kits,Digital Device 3,Speakers & Audio Systems,Consumer Electronics,Wireless Speakers,See more Amazon Echo Spot Smart Assistant - Black,Smart Speakers, Hubs & Accessories,Home Improvement,Amazon Home,Surveillance & Smart Home Electronics,Virtual Assistant Speakers Displays,Home & Outdoors,Amazon,Bluetooth Speakers","I wasn't sure I even wanted this item, but caught up in all the excitement surrounding the Alexa enabled devices. Well....after getting it home I became addicted and ordered two Echos for the entertainment stand and today I have to Sub coming. I can't say enough for the product as well as the quick service/pick up at the Target store. Great service and product!",Gotta have this one!!,5.0,208142753.0,"Gotta have this one!! I wasn't sure I even wanted this item, but caught up in all the excitement surrounding the Alexa enabled devices. Well....after getting it home I became addicted and ordered two Echos for the entertainment stand and today I have to Sub coming. I can't say enough for the product as well as the quick service/pick up at the Target store. Great service and product!","['Got', 'ta', 'have', 'this', 'one', '!', '!', 'I', 'was', ""n't"", 'sure', 'I', 'even', 'wanted', 'this', 'item', ',', 'but', 'caught', 'up', 'in', 'all', 'the', 'excitement', 'surrounding', 'the', 'Alexa', 'enabled', 'devices', '.', 'Well', '....', 'after', 'getting', 'it', 'home', 'I', 'became', 'addicted', 'and', 'ordered', 'two', 'Echos', 'for', 'the', 'entertainment', 'stand', 'and', 'today', 'I', 'have', 'to', 'Sub', 'coming', '.', 'I', 'ca', ""n't"", 'say', 'enough', 'for', 'the', 'product', 'as', 'well', 'as', 'the', 'quick', 'service/pick', 'up', 'at', 'the', 'Target', 'store', '.', 'Great', 'service', 'and', 'product', '!']","['got', 'ta', 'one', 'nt', 'sure', 'even', 'wanted', 'item', 'caught', 'excitement', 'surrounding', 'alexa', 'enabled', 'devices', 'well', 'getting', 'home', 'became', 'addicted', 'ordered', 'two', 'echos', 'entertainment', 'stand', 'today', 'sub', 'coming', 'ca', 'nt', 'say', 'enough', 'product', 'well', 'quick', 'servicepick', 'target', 'store', 'great', 'service', 'product']","['got', 'ta', 'one', 'nt', 'sure', 'even', 'wanted', 'item', 'caught', 'excitement', 'surrounding', 'alexa', 'enabled', 'device', 'well', 'getting', 'home', 'became', 'addicted', 'ordered', 'two', 'echo', 'entertainment', 'stand', 'today', 'sub', 'coming', 'ca', 'nt', 'say', 'enough', 'product', 'well', 'quick', 'servicepick', 'target', 'store', 'great', 'service', 'product']",got ta one nt sure even wanted item caught excitement surrounding alexa enabled device well getting home became addicted ordered two echo entertainment stand today sub coming ca nt say enough product well quick servicepick target store great service product,positive
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers","thought rice was a little high but now that i have one, it is worth every penny. have not had any problems with it and not bothered by not having a backlight",8th gen kindle very good buy,4.0,136303197.0,"8th gen kindle very good buy thought rice was a little high but now that i have one, it is worth every penny. have not had any problems with it and not bothered by not having a backlight","['8th', 'gen', 'kindle', 'very', 'good', 'buy', 'thought', 'rice', 'was', 'a', 'little', 'high', 'but', 'now', 'that', 'i', 'have', 'one', ',', 'it', 'is', 'worth', 'every', 'penny', '.', 'have', 'not', 'had', 'any', 'problems', 'with', 'it', 'and', 'not', 'bothered', 'by', 'not', 'having', 'a', 'backlight']","['8th', 'gen', 'kindle', 'good', 'buy', 'thought', 'rice', 'little', 'high', 'one', 'worth', 'every', 'penny', 'problems', 'bothered', 'backlight']","['8th', 'gen', 'kindle', 'good', 'buy', 'thought', 'rice', 'little', 'high', 'one', 'worth', 'every', 'penny', 'problem', 'bothered', 'backlight']",8th gen kindle good buy thought rice little high one worth every penny problem bothered backlight,negative
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers","I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",A Great Buy,5.0,177283626.0,"A Great Buy I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.","['A', 'Great', 'Buy', 'I', 'am', '100', 'happy', 'with', 'my', 'purchase', '.', 'I', 'caught', 'it', 'on', 'sale', 'at', 'a', 'really', 'good', 'price', '.', 'I', 'am', 'normally', 'a', 'real', 'book', 'person', ',', 'but', 'I', 'have', 'a', '1', 'year', 'old', 'who', 'loves', 'ripping', 'up', 'pages', '.', 'The', 'Kindle', 'prevents', 'that', ',', 'it', ""'s"", 'extremely', 'portable', '(', 'it', 'fits', 'better', 'in', 'my', 'purse', 'than', 'a', 'giant', 'book', ')', ',', 'and', 'I', 'have', 'it', 'loaded', 'with', 'lots', 'of', 'books', '.', 'I', 'finish', 'one', 'and', 'start', 'another', ',', 'without', 'having', 'to', 'go', 'store', '.', 'It', 'serves', 'all', 'my', 'needs', '.', 'I', 'picked', 'this', 'one', 'over', 'the', 'Paperwhite', 'because', 'the', 'price', 'was', 'unbeatable', 'and', 'the', 'only', 'difference', 'that', 'I', 'could', 'see', 'was', 'this', 'one', 'was', ""n't"", 'backlit', '.', 'A', 'simple', 'book', 'light', 'from', 'the', 'Dollar', 'tree', 'solves', 'that', 'issue', '.', 'This', 'is', 'my', 'second', 'Kindle', '(', 'the', 'first', 'being', 'the', 'old', 'Keyboard', 'model', ',', 'which', 'I', 'put', 'down', 'because', 'I', 'fell', 'out', 'of', 'love', 'with', 'the', 'keyboard', '.', 'Lol', ')', 'and', 'it', 'most', 'likely', 'wo', ""n't"", 'be', 'my', 'last', '.']","['great', 'buy', '100', 'happy', 'purchase', 'caught', 'sale', 'really', 'good', 'price', 'normally', 'real', 'book', 'person', '1', 'year', 'old', 'loves', 'ripping', 'pages', 'kindle', 'prevents', 'extremely', 'portable', 'fits', 'better', 'purse', 'giant', 'book', 'loaded', 'lots', 'books', 'finish', 'one', 'start', 'another', 'without', 'go', 'store', 'serves', 'needs', 'picked', 'one', 'paperwhite', 'price', 'unbeatable', 'difference', 'could', 'see', 'one', 'nt', 'backlit', 'simple', 'book', 'light', 'dollar', 'tree', 'solves', 'issue', 'second', 'kindle', 'first', 'old', 'keyboard', 'model', 'put', 'fell', 'love', 'keyboard', 'lol', 'likely', 'wo', 'nt', 'last']","['great', 'buy', '100', 'happy', 'purchase', 'caught', 'sale', 'really', 'good', 'price', 'normally', 'real', 'book', 'person', '1', 'year', 'old', 'love', 'ripping', 'page', 'kindle', 'prevents', 'extremely', 'portable', 'fit', 'better', 'purse', 'giant', 'book', 'loaded', 'lot', 'book', 'finish', 'one', 'start', 'another', 'without', 'go', 'store', 'serf', 'need', 'picked', 'one', 'paperwhite', 'price', 'unbeatable', 'difference', 'could', 'see', 'one', 'nt', 'backlit', 'simple', 'book', 'light', 'dollar', 'tree', 'solves', 'issue', 'second', 'kindle', 'first', 'old', 'keyboard', 'model', 'put', 'fell', 'love', 'keyboard', 'lol', 'likely', 'wo', 'nt', 'last']",great buy 100 happy purchase caught sale really good price normally real book person 1 year old love ripping page kindle prevents extremely portable fit better purse giant book loaded lot book finish one start another without go store serf need picked one paperwhite price unbeatable difference could see one nt backlit simple book light dollar tree solves issue second kindle first old keyboard model put fell love keyboard lol likely wo nt last,positive
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers",This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.,"Easy to use, bare-bones reading device",4.0,135864424.0,"Easy to use, bare-bones reading device This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.","['Easy', 'to', 'use', ',', 'bare-bones', 'reading', 'device', 'This', 'is', 'a', 'nice', 'bare-bones', 'reading', 'device', '.', 'Easy', 'to', 'set', 'up', 'and', 'use', '.', 'My', 'greatest', 'issue', 'is', 'that', 'it', 'is', ""n't"", 'back', 'lit', 'so', 'it', 'ca', ""n't"", 'be', 'used', 'w/o', 'a', 'light', 'on', 'in', 'the', 'room', '.', 'Returning', 'it', 'an', 'purchasing', 'a', 'paperwhite', 'instead', '.']","['easy', 'use', 'barebones', 'reading', 'device', 'nice', 'barebones', 'reading', 'device', 'easy', 'set', 'use', 'greatest', 'issue', 'nt', 'back', 'lit', 'ca', 'nt', 'used', 'wo', 'light', 'room', 'returning', 'purchasing', 'paperwhite', 'instead']","['easy', 'use', 'barebones', 'reading', 'device', 'nice', 'barebones', 'reading', 'device', 'easy', 'set', 'use', 'greatest', 'issue', 'nt', 'back', 'lit', 'ca', 'nt', 'used', 'wo', 'light', 'room', 'returning', 'purchasing', 'paperwhite', 'instead']",easy use barebones reading device nice barebones reading device easy set use greatest issue nt back lit ca nt used wo light room returning purchasing paperwhite instead,positive
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers",I love the Amazon Kindles! They are a reasonable price for a great little tablet.,Kindle Rocks,5.0,111624418.0,Kindle Rocks I love the Amazon Kindles! They are a reasonable price for a great little tablet.,"['Kindle', 'Rocks', 'I', 'love', 'the', 'Amazon', 'Kindles', '!', 'They', 'are', 'a', 'reasonable', 'price', 'for', 'a', 'great', 'little', 'tablet', '.']","['kindle', 'rocks', 'love', 'amazon', 'kindles', 'reasonable', 'price', 'great', 'little', 'tablet']","['kindle', 'rock', 'love', 'amazon', 'kindles', 'reasonable', 'price', 'great', 'little', 'tablet']",kindle rock love amazon kindles reasonable price great little tablet,positive
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers","I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",Light Weight - Makes a world of difference when taking books on the go!,5.0,187043823.0,"Light Weight - Makes a world of difference when taking books on the go! I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.","['Light', 'Weight', '-', 'Makes', 'a', 'world', 'of', 'difference', 'when', 'taking', 'books', 'on', 'the', 'go', '!', 'I', 'ordered', 'this', 'for', 'my', 'daughter', ',', 'as', 'I', 'have', 'the', 'black', 'paperwhite', ',', 'and', 'I', 'love', 'it', '.', 'I', 'read', 'quite', 'a', 'bit', 'and', 'the', 'larger', 'books', 'were', 'driving', 'me', 'crazy', 'having', 'to', 'hold', 'them', 'up', 'while', 'laying', 'down', ',', 'or', 'wanting', 'to', 'take', 'a', 'book', 'on', 'vacation', 'and', 'lugging', 'around', 'a', 'thick', 'paperback', ',', 'with', 'this', 'I', 'can', 'throw', 'it', 'in', 'my', 'bag', 'and', 'read', 'anywhere', '.', 'Its', 'light', 'weight', ',', 'easy', 'to', 'use', ',', 'the', 'battery', 'life', 'lasts', 'for', 'weeks', ',', 'which', 'makes', 'it', 'an', 'all', 'around', 'awesome', 'device', '.', 'My', 'daughter', 'is', 'in', 'public', 'school', 'and', 'they', 'offer', 'an', 'online', 'library', 'for', 'E-Readers', ',', 'so', 'she', 'can', 'now', 'download', 'books', 'for', 'free', 'from', 'school', '!', 'You', 'can', 'also', 'download', 'your', 'own', 'public', 'library', 'app', '(', 'if', 'your', 'county', 'offers', 'that', ')', 'and', 'read', 'free', 'from', 'there', 'as', 'well', '.', 'You', 'can', 'shop', 'for', 'e-books', 'straight', 'from', 'the', 'device', 'through', 'Amazon.com', '.']","['light', 'weight', 'makes', 'world', 'difference', 'taking', 'books', 'go', 'ordered', 'daughter', 'black', 'paperwhite', 'love', 'read', 'quite', 'bit', 'larger', 'books', 'driving', 'crazy', 'hold', 'laying', 'wanting', 'take', 'book', 'vacation', 'lugging', 'around', 'thick', 'paperback', 'throw', 'bag', 'read', 'anywhere', 'light', 'weight', 'easy', 'use', 'battery', 'life', 'lasts', 'weeks', 'makes', 'around', 'awesome', 'device', 'daughter', 'public', 'school', 'offer', 'online', 'library', 'ereaders', 'download', 'books', 'free', 'school', 'also', 'download', 'public', 'library', 'app', 'county', 'offers', 'read', 'free', 'well', 'shop', 'ebooks', 'straight', 'device', 'amazoncom']","['light', 'weight', 'make', 'world', 'difference', 'taking', 'book', 'go', 'ordered', 'daughter', 'black', 'paperwhite', 'love', 'read', 'quite', 'bit', 'larger', 'book', 'driving', 'crazy', 'hold', 'laying', 'wanting', 'take', 'book', 'vacation', 'lugging', 'around', 'thick', 'paperback', 'throw', 'bag', 'read', 'anywhere', 'light', 'weight', 'easy', 'use', 'battery', 'life', 'last', 'week', 'make', 'around', 'awesome', 'device', 'daughter', 'public', 'school', 'offer', 'online', 'library', 'ereaders', 'download', 'book', 'free', 'school', 'also', 'download', 'public', 'library', 'app', 'county', 'offer', 'read', 'free', 'well', 'shop', 'ebooks', 'straight', 'device', 'amazoncom']",light weight make world difference taking book go ordered daughter black paperwhite love read quite bit larger book driving crazy hold laying wanting take book vacation lugging around thick paperback throw bag read anywhere light weight easy use battery life last week make around awesome device daughter public school offer online library ereaders download book free school also download public library app county offer read free well shop ebooks straight device amazoncom,positive
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers","This was advertised as the latest version 8. My ignorance led me to its 79 price. I thought they were all Paperwite - as in just like white paper in a book. Bought it for my wife. I returned mine as a refused shipment and ordered the PaperWhite. It has a backlight, higher resolution, and for 20, worth it. Kindler 1",Paper white is the way to go,3.0,118703863.0,"Paper white is the way to go This was advertised as the latest version 8. My ignorance led me to its 79 price. I thought they were all Paperwite - as in just like white paper in a book. Bought it for my wife. I returned mine as a refused shipment and ordered the PaperWhite. It has a backlight, higher resolution, and for 20, worth it. Kindler 1","['Paper', 'white', 'is', 'the', 'way', 'to', 'go', 'This', 'was', 'advertised', 'as', 'the', 'latest', 'version', '8', '.', 'My', 'ignorance', 'led', 'me', 'to', 'its', '79', 'price', '.', 'I', 'thought', 'they', 'were', 'all', 'Paperwite', '-', 'as', 'in', 'just', 'like', 'white', 'paper', 'in', 'a', 'book', '.', 'Bought', 'it', 'for', 'my', 'wife', '.', 'I', 'returned', 'mine', 'as', 'a', 'refused', 'shipment', 'and', 'ordered', 'the', 'PaperWhite', '.', 'It', 'has', 'a', 'backlight', ',', 'higher', 'resolution', ',', 'and', 'for', '20', ',', 'worth', 'it', '.', 'Kindler', '1']","['paper', 'white', 'way', 'go', 'advertised', 'latest', 'version', '8', 'ignorance', 'led', '79', 'price', 'thought', 'paperwite', 'like', 'white', 'paper', 'book', 'bought', 'wife', 'returned', 'mine', 'refused', 'shipment', 'ordered', 'paperwhite', 'backlight', 'higher', 'resolution', '20', 'worth', 'kindler', '1']","['paper', 'white', 'way', 'go', 'advertised', 'latest', 'version', '8', 'ignorance', 'led', '79', 'price', 'thought', 'paperwite', 'like', 'white', 'paper', 'book', 'bought', 'wife', 'returned', 'mine', 'refused', 'shipment', 'ordered', 'paperwhite', 'backlight', 'higher', 'resolution', '20', 'worth', 'kindler', '1']",paper white way go advertised latest version 8 ignorance led 79 price thought paperwite like white paper book bought wife returned mine refused shipment ordered paperwhite backlight higher resolution 20 worth kindler 1,negative
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Computers,Electronics Features,EBook Readers,Tablets,Electronics,Amazon Ereaders,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Amazon Book Reader,Computers & Tablets,Amazon,Tablets & eBook Readers","I bought this because it was 30.00 off for the early Black Friday sale and it doesn't need to be charged every day like my fire tablet. (Which is very annoying to have to stop reading because the battery is dying). This stays charged for days! This works great during the day and I bought a Energizer book light for 6.99 that clicks on it. The book light works just fine for night reading. Only con is the magazines I downloaded are not in color which I miss,so I will use for books only. I like the size and I able to carry it in my purse and read as I commute.",Performs as advertised,4.0,184417556.0,"Performs as advertised I bought this because it was 30.00 off for the early Black Friday sale and it doesn't need to be charged every day like my fire tablet. (Which is very annoying to have to stop reading because the battery is dying). This stays charged for days! This works great during the day and I bought a Energizer book light for 6.99 that clicks on it. The book light works just fine for night reading. Only con is the magazines I downloaded are not in color which I miss,so I will use for books only. I like the size and I able to carry it in my purse and read as I commute.","['Performs', 'as', 'advertised', 'I', 'bought', 'this', 'because', 'it', 'was', '30.00', 'off', 'for', 'the', 'early', 'Black', 'Friday', 'sale', 'and', 'it', 'does', ""n't"", 'need', 'to', 'be', 'charged', 'every', 'day', 'like', 'my', 'fire', 'tablet', '.', '(', 'Which', 'is', 'very', 'annoying', 'to', 'have', 'to', 'stop', 'reading', 'because', 'the', 'battery', 'is', 'dying', ')', '.', 'This', 'stays', 'charged', 'for', 'days', '!', 'This', 'works', 'great', 'during', 'the', 'day', 'and', 'I', 'bought', 'a', 'Energizer', 'book', 'light', 'for', '6.99', 'that', 'clicks', 'on', 'it', '.', 'The', 'book', 'light', 'works', 'just', 'fine', 'for', 'night', 'reading', '.', 'Only', 'con', 'is', 'the', 'magazines', 'I', 'downloaded', 'are', 'not', 'in', 'color', 'which', 'I', 'miss', ',', 'so', 'I', 'will', 'use', 'for', 'books', 'only', '.', 'I', 'like', 'the', 'size', 'and', 'I', 'able', 'to', 'carry', 'it', 'in', 'my', 'purse', 'and', 'read', 'as', 'I', 'commute', '.']","['performs', 'advertised', 'bought', '3000', 'early', 'black', 'friday', 'sale', 'nt', 'need', 'charged', 'every', 'day', 'like', 'fire', 'tablet', 'annoying', 'stop', 'reading', 'battery', 'dying', 'stays', 'charged', 'days', 'works', 'great', 'day', 'bought', 'energizer', 'book', 'light', '699', 'clicks', 'book', 'light', 'works', 'fine', 'night', 'reading', 'con', 'magazines', 'downloaded', 'color', 'miss', 'use', 'books', 'like', 'size', 'able', 'carry', 'purse', 'read', 'commute']","['performs', 'advertised', 'bought', '3000', 'early', 'black', 'friday', 'sale', 'nt', 'need', 'charged', 'every', 'day', 'like', 'fire', 'tablet', 'annoying', 'stop', 'reading', 'battery', 'dying', 'stay', 'charged', 'day', 'work', 'great', 'day', 'bought', 'energizer', 'book', 'light', '699', 'click', 'book', 'light', 'work', 'fine', 'night', 'reading', 'con', 'magazine', 'downloaded', 'color', 'miss', 'use', 'book', 'like', 'size', 'able', 'carry', 'purse', 'read', 'commute']",performs advertised bought 3000 early black friday sale nt need charged every day like fire tablet annoying stop reading battery dying stay charged day work great day bought energizer book light 699 click book light work fine night reading con magazine downloaded color miss use book like size able carry purse read commute,positive
